index sub_id time events tone stim hb0 rt fz cz pz
bin1 s001 -100 0 lo standard L 496 -14.570 -8.609 -7.578 
bin1 s001 -96 0 lo standard L 496 -6.418 -3.039 -4.305 
bin1 s001 -92 0 lo standard L 496 -6.070 -4.391 -8.266 
bin1 s001 -88 0 lo standard L 496 -1.734 -3.039 -9.305 
bin1 s001 -84 0 lo standard L 496 4.684 1.520 -4.652 
bin1 s001 -80 0 lo standard L 496 2.602 -0.675 -7.922 
bin1 s001 -76 0 lo standard L 496 7.805 5.402 -3.100 
bin1 s001 -72 0 lo standard L 496 7.457 5.910 -0.689 
bin1 s001 -68 0 lo standard L 496 2.256 2.533 -2.066 
bin1 s001 -64 0 lo standard L 496 1.214 3.545 0.517 
bin1 s001 -60 0 lo standard L 496 0.173 3.715 0.861 
bin1 s001 -56 0 lo standard L 496 0.347 3.545 0.172 
bin1 s001 -52 0 lo standard L 496 -1.214 0.506 -4.477 
bin1 s001 -48 0 lo standard L 496 -0.347 1.013 -3.961 
bin1 s001 -44 0 lo standard L 496 6.590 7.090 2.756 
bin1 s001 -40 0 lo standard L 496 -2.949 -0.169 -0.517 
bin1 s001 -36 0 lo standard L 496 5.203 4.219 2.584 
bin1 s001 -32 0 lo standard L 496 4.164 1.688 -0.172 
bin1 s001 -28 0 lo standard L 496 8.844 5.910 4.305 
bin1 s001 -24 0 lo standard L 496 14.914 12.664 7.750 
bin1 s001 -20 0 lo standard L 496 9.195 10.297 6.027 
bin1 s001 -16 0 lo standard L 496 13.875 16.375 11.883 
bin1 s001 -12 0 lo standard L 496 11.102 15.195 11.367 
bin1 s001 -8 0 lo standard L 496 2.082 7.258 4.477 
bin1 s001 -4 0 lo standard L 496 2.602 6.246 3.789 
bin1 s001 0 10 lo standard L 496 -3.295 -1.013 -4.824 
bin1 s001 4 0 lo standard L 496 -1.388 -1.013 -4.824 
bin1 s001 8 0 lo standard L 496 -4.512 -3.545 -6.719 
bin1 s001 12 0 lo standard L 496 -5.898 -4.895 -8.953 
bin1 s001 16 0 lo standard L 496 -8.156 -5.234 -7.578 
bin1 s001 20 0 lo standard L 496 -9.539 -6.922 -9.992 
bin1 s001 24 0 lo standard L 496 -6.246 -4.219 -6.719 
bin1 s001 28 0 lo standard L 496 -11.797 -6.414 -5.684 
bin1 s001 32 0 lo standard L 496 -11.797 -6.414 -6.547 
bin1 s001 36 0 lo standard L 496 -14.570 -9.961 -12.227 
bin1 s001 40 0 lo standard L 496 -13.008 -8.273 -10.508 
bin1 s001 44 0 lo standard L 496 -7.285 -0.675 -2.066 
bin1 s001 48 0 lo standard L 496 -3.643 1.013 -1.895 
bin1 s001 52 0 lo standard L 496 -3.295 1.857 0.172 
bin1 s001 56 0 lo standard L 496 -2.602 3.207 2.928 
bin1 s001 60 0 lo standard L 496 3.295 7.258 7.062 
bin1 s001 64 0 lo standard L 496 -0.694 2.869 0.517 
bin1 s001 68 0 lo standard L 496 1.562 6.586 1.723 
bin1 s001 72 0 lo standard L 496 -2.602 2.869 0.689 
bin1 s001 76 0 lo standard L 496 -9.195 -2.195 -3.961 
bin1 s001 80 0 lo standard L 496 -13.703 -6.246 -6.371 
bin1 s001 84 0 lo standard L 496 -11.445 -4.051 -4.652 
bin1 s001 88 0 lo standard L 496 -11.797 -2.025 -2.412 
bin1 s001 92 0 lo standard L 496 -14.966 1.351 0.689 
bin1 s001 96 0 lo standard L 496 -4.336 3.545 1.550 
bin1 s001 100 0 lo standard L 496 -6.418 0.338 -0.689 
